,0,1
0,-5.314303,-10.424025
1,-3.8306544,-11.044773
2,-3.5427294,-7.4843006
3,-5.108457,-10.529609
4,-4.988062,-9.770244
5,-6.2488956,-9.81609
6,-3.6482623,-10.954303
7,-5.483699,-11.180454
8,-3.9768934,-7.2683434
9,-2.8488266,-9.619016
10,-4.665079,-10.015181
11,-4.707062,-9.942912
12,-4.9709554,-8.014917
13,-5.6862426,-9.4149065
14,-4.198706,-10.406045
15,-4.718387,-9.532751
16,-3.8573043,-13.062206
17,-4.9818974,-9.173933
18,-6.438327,-9.100278
19,-4.2323813,-11.828186
20,-5.5606875,-9.349618
21,-4.2038493,-10.260803
22,-5.219193,-10.523843
23,-5.3599815,-10.109075
24,-4.9964175,-10.166737
25,-5.491779,-10.299483
26,-4.88977,-10.760832
27,-4.28419,-5.217098
28,-4.3132076,-9.52704
29,-4.7295284,-10.037251
30,-5.1373625,-10.470553
31,-3.9622493,-10.362461
32,-3.7369516,-11.281017
33,-4.864967,-9.985544
34,-4.8989396,-9.704864
35,-4.9469585,-10.172595
36,-5.3611994,-9.552844
37,-3.6503227,-9.618
38,-3.0599208,-8.06402
39,-6.387284,-4.6144023
40,-8.152804,-10.027024
41,0.26352897,-10.542171
42,-3.6392763,-9.447644
43,-5.0232506,-10.616224
44,-6.316076,-11.509493
45,-5.647934,-9.758213
46,-3.7706842,-10.394368
47,-4.917989,-10.120794
48,-4.654624,-9.05754
49,-5.02425,-10.675012
50,-5.6010747,-9.202296
51,-4.639949,-10.141692
52,-3.910778,-10.394909
53,-7.8512964,-7.7313685
54,-7.066715,-8.89275
55,-4.5245066,-9.254887
56,-5.492831,-5.3154674
57,-5.6842136,-9.998513
58,-4.7194233,-10.015347
59,-4.7760787,-9.944493
60,-7.0148926,-8.069209
61,-2.455883,-12.365382
62,-4.7306423,-7.7345166
63,-7.407371,-12.316083
64,-5.3727026,-10.055989
65,-7.043347,-11.864685
66,-5.035671,-11.18326
67,-4.7337775,-9.721529
68,-6.06329,-6.3668427
69,-5.4116817,-6.8018827
70,-5.7739916,-11.603852
71,-5.189509,-9.809096
72,-4.699739,-9.574943
73,-4.869667,-9.437368
74,-4.0404763,-9.809678
75,-3.885242,-11.033144
76,-3.7235012,-10.365056
77,-5.5340576,-7.885297
78,-4.9996543,-9.302424
79,-4.980276,-9.475722
80,-3.4180303,-10.521661
81,-5.2727685,-9.77324
82,-3.5410373,-12.285135
83,-4.873682,-10.462615
84,-4.4025087,-10.008497
85,-3.7665946,-10.809845
86,-4.4115,-10.649807
87,-0.3826637,-9.780263
88,-5.2458262,-10.321105
89,-4.0899973,-11.523672
90,-6.3146315,-4.6481
91,-4.7694173,-9.506998
92,-3.772404,-11.275647
93,-5.459971,-9.610363
94,-4.8689914,-10.755815
95,-4.0601745,-10.2106905
96,-3.4635584,-11.265886
97,-3.423113,-7.8522873
98,-4.85883,-4.270023
99,-4.60525,-10.579752
100,-4.5787454,-11.156366
101,-1.406959,-11.7786665
102,-5.2544327,-10.203074
103,-5.56858,-10.209739
104,-5.7495117,-10.568993
105,-7.4698696,-12.261707
106,-5.27554,-9.135335
107,-4.1104617,-12.351698
108,-3.7058048,-10.367969
109,-5.3501153,-9.097462
110,-8.394903,-11.117674
111,-5.3145676,-9.549837
112,-4.9516706,-10.160874
113,-5.668677,-10.345514
114,-5.285498,-10.022285
115,-4.5923657,-9.85113
116,-4.2129154,-9.241249
117,-5.2369013,-10.030271
118,-7.1524677,-10.29848
119,-4.9456058,-9.996474
120,-5.293263,-8.982075
121,-5.9469647,-11.881143
122,-9.058079,-10.447443
123,-5.754183,-9.41954
124,-2.3511078,-10.977032
125,-4.0997553,-9.945169
126,-5.528877,-10.173033
127,-2.4761944,-12.355374
128,-4.985099,-9.283598
129,-9.46675,-8.789845
130,-1.4457638,-11.738184
131,-2.7863312,-9.495859
132,-1.7184821,-8.326339
133,-5.540715,-9.787465
134,-4.274066,-12.369056
135,-4.1409636,-10.592229
136,-1.4341407,-11.71961
137,-3.006364,-9.937113
138,-0.43581665,-9.87356
139,-4.875789,-9.147859
140,-3.8504124,-6.5243955
141,-3.1266239,-8.01534
142,-5.0536814,-6.4317026
143,-4.359079,-9.047279
144,-6.0411696,-6.426403
145,-4.855148,-9.997893
146,-3.852053,-10.355761
147,-4.9758534,-9.209173
148,-7.499794,-12.297303
149,-5.48375,-7.9814215
150,-7.12464,-7.8407617
151,-3.0445204,-8.100686
152,-0.4430455,-9.815141
153,-4.636338,-9.695214
154,-4.7775145,-10.11306
155,-7.0093946,-11.842141
156,-4.7897444,-7.7039723
157,-2.9909527,-9.499643
158,-0.4196618,-9.800734
159,-6.518117,-9.374368
160,-2.5349686,-10.943291
161,-4.458572,-10.030001
162,-4.7928233,-10.119653
163,-4.734404,-9.977912
164,-4.84231,-10.1050205
165,-4.8735185,-8.235779
166,-4.624994,-9.506981
167,-4.9521775,-8.02805
168,-7.8148775,-9.135891
169,-4.2697234,-11.817701
170,-4.8982263,-9.527353
171,-7.0578976,-8.934965
172,-0.43402037,-9.820368
173,-1.4350444,-11.668235
174,-7.4113326,-12.299928
175,-4.9822087,-10.11294
176,-4.6173086,-10.595653
177,-6.9632874,-11.791815
178,-5.2172985,-9.242422
179,-4.571257,-10.042003
180,-7.2185464,-7.8379664
181,-4.5080585,-9.758122
182,-6.8775654,-11.80508
183,-2.7967725,-8.322998
184,-3.496438,-12.332904
185,-7.0226755,-11.823317
186,-3.670344,-10.423299
187,-4.8242083,-9.949144
188,-6.695936,-5.819233
189,-1.257365,-8.370158
190,-4.302413,-8.906595
191,-4.682015,-9.903591
192,-5.014884,-10.385656
193,-2.867867,-9.557513
194,-4.7011466,-9.0227585
195,-4.667701,-10.060244
196,-2.339097,-10.984944
197,-6.2844863,-11.725099
198,-4.805606,-9.906499
199,-7.2174854,-11.040828
200,-5.5007176,-8.045087
201,-6.6152267,-9.398308
202,-6.607872,-5.88398
203,-0.49724042,-11.682331
204,-8.255222,-9.912246
205,-8.18932,-10.030004
206,-4.8300776,-10.102165
207,-3.0697992,-8.060749
208,-6.6597104,-9.42547
209,-4.7083306,-10.036528
210,-2.9043891,-8.179755
211,-5.3231335,-10.905981
212,-4.4077835,-11.157518
213,-6.8876157,-11.869728
214,-6.946552,-8.864248
215,-5.3025646,-11.746504
216,-6.7436705,-9.385922
217,-5.490202,-5.388234
218,-3.0139797,-9.45899
219,-4.8030095,-9.013229
220,-4.96314,-4.322868
221,-4.5281434,-11.242281
222,-6.0181484,-11.846669
223,-7.4007483,-12.356336
224,-4.468291,-9.416461
225,-5.4856253,-5.3173203
226,-3.832057,-10.389223
227,-1.7769922,-11.195995
228,-7.1206045,-8.42768
229,-3.5136564,-12.347027
230,-5.0285406,-10.659814
231,-4.627819,-9.104494
232,-6.1955233,-9.861066
233,-4.772608,-10.054517
234,-4.5000324,-11.255549
235,-4.6414356,-9.933648
236,-6.78116,-9.038395
237,-2.298217,-11.022249
238,-5.429173,-7.9810057
239,-5.5654287,-10.519593
240,-5.621837,-9.78122
241,-7.2682467,-11.02838
242,-4.2567573,-11.814242
243,-4.888844,-10.034582
244,-0.42087725,-9.780795
245,-3.5337815,-10.470171
246,-6.979889,-11.855059
247,-4.1695085,-12.331366
248,-4.1225166,-12.2321005
249,-4.487069,-9.788435
250,-6.3246384,-11.774614
251,-4.045377,-10.217985
252,-4.2537374,-11.817806
253,-5.5983753,-10.573154
254,-4.4702654,-9.142271
255,-4.7746096,-10.037238
256,-3.6968477,-8.63924
257,-6.9085894,-11.85779
258,-5.7002907,-10.442699
259,-2.9654024,-9.440339
260,-4.807203,-10.003121
261,-4.736766,-8.997335
262,-6.592338,-5.9182706
263,-4.893837,-9.651658
264,-6.618685,-5.7967525
265,-6.5570354,-9.43903
266,-5.516513,-5.3350716
267,-4.8735557,-10.026736
268,-5.269347,-10.333571
269,-2.7775595,-9.253969
270,-4.773892,-7.73715
271,-3.856521,-10.423922
272,-4.1794395,-10.363934
273,-4.700345,-10.053229
274,-4.0771565,-10.274728
275,-4.941117,-11.432644
276,-6.3069854,-11.78096
277,-3.8261576,-8.774946
278,-4.9174447,-8.141082
279,-4.897082,-5.8214073
280,-4.968228,-11.449418
281,-8.084691,-10.05016
282,-4.3271303,-10.123599
283,-5.267966,-10.330798
284,-4.4096427,-10.352515
285,-1.4321061,-11.749605
286,-6.7475543,-5.7171226
287,-4.570982,-10.06929
288,-4.1866364,-10.115713
289,-4.711358,-9.047103
290,-4.265241,-10.352899
291,-5.116254,-10.704744
292,-4.701361,-9.017416
293,-0.3889945,-9.75048
294,-8.180413,-10.061853
295,-4.543394,-10.791565
296,-6.3426986,-9.419003
297,-4.5110564,-9.412263
298,-7.52039,-10.287758
299,-4.3640304,-11.797905
300,-0.45363548,-9.823985
301,-8.206869,-10.018158
302,-8.164411,-9.730096
303,-3.7952445,-10.49836
304,-4.7764573,-7.657452
305,-1.4298602,-11.737231
306,-4.2707586,-11.801245
307,-0.43813297,-9.83007
308,-4.357946,-5.2436337
309,-3.3159232,-10.453482
310,-1.4205613,-11.811532
311,-1.4437388,-11.803942
312,-2.848638,-10.021993
313,-2.7242532,-7.287587
314,-1.4477766,-11.742817
315,-4.9704766,-9.791088
316,-4.645476,-9.192999
317,-4.638132,-9.038113
318,-4.624162,-9.386296
319,-4.970479,-8.06553
320,-3.1036997,-8.087699
321,-5.0863595,-10.993483
322,-3.0459695,-9.873417
323,-4.9141145,-5.7914495
324,-4.8677297,-9.986225
325,-1.4226563,-11.758882
326,-5.354146,-6.2152295
327,-6.6591287,-5.8235235
328,-0.33332384,-9.945261
329,-5.317911,-7.0222797
330,-4.750647,-9.981319
331,-6.22094,-11.741052
332,-5.1129756,-9.885753
333,-5.5009527,-10.512016
334,-6.676932,-5.7879233
335,-6.7584567,-9.425113
336,-6.3118153,-11.704116
337,-3.8971002,-6.5912113
338,-3.841598,-10.8572235
339,-5.0504127,-5.9296494
340,-4.7359414,-9.986214
341,-5.120555,-9.10741
342,-3.798656,-8.855726
343,-3.6743772,-10.161429
344,-5.2869487,-8.689148
345,-0.35011414,-9.846251
346,-5.6162205,-10.690987
347,-1.4223295,-11.803088
348,-1.4222139,-11.8124075
349,-6.241623,-11.933005
350,-3.1840725,-11.7103405
351,-4.696446,-10.026868
352,-4.9259386,-10.350398
353,-4.7460055,-7.7627974
354,-4.3144426,-10.397758
355,-6.186945,-11.721583
356,-5.0937443,-9.1707535
357,-5.391078,-10.405494
358,-6.2513995,-11.779196
359,-5.49615,-5.380038
360,-4.951373,-9.911829
361,-2.7648082,-9.244678
362,-6.5809145,-9.427904
363,-1.542624,-11.767088
364,-0.44240054,-9.861438
365,-4.726778,-10.005913
366,-4.6495824,-8.540909
367,-1.4365821,-11.632201
368,-4.152832,-10.322125
369,-3.960477,-10.418371
370,-4.945852,-8.122622
371,-7.6508245,-10.001819
372,-1.4627949,-11.578938
373,-5.3858404,-6.8336935
374,-5.648174,-12.176164
375,-3.1899621,-11.666613
376,-4.5489492,-10.089372
377,-4.630656,-11.084976
378,-4.9315696,-9.220558
379,-7.030999,-11.905293
380,-7.1604266,-8.205172
381,-4.6895766,-9.066387
382,-4.7463374,-8.941675
383,-4.5299535,-11.303158
384,-4.279312,-10.402276
385,0.25105676,-10.546669
386,-4.2843347,-10.336913
387,-4.014243,-10.389293
388,-6.0348744,-9.672464
389,-3.8937736,-8.703112
390,-6.548675,-12.174071
391,-0.4847255,-9.808517
392,-8.3619,-9.883879
393,-3.94555,-10.485433
394,-5.680851,-11.65971
395,-5.99526,-10.294185
396,-4.6226797,-9.068572
397,-5.6917815,-12.121415
398,-4.2697344,-10.588957
399,-6.515751,-9.754474
400,-1.4565802,-11.711595
401,-3.2519112,-8.013719
402,-4.456304,-10.4877405
403,-6.287897,-11.73849
404,-6.605779,-5.7714024
405,-6.2347045,-11.759166
406,-3.1566107,-8.155977
407,-4.7185526,-9.738147
408,0.3037045,-10.550856
409,-0.7779242,-10.045439
410,-2.9670591,-8.164747
411,-5.4713545,-5.2920575
412,-5.324694,-10.498355
413,-4.877202,-9.870263
414,-3.0647302,-5.897378
415,-1.2152797,-7.372562
416,-3.220022,-11.666664
417,0.35566604,-10.664135
418,-5.743337,-6.9814663
419,-6.670768,-5.792518
420,-1.4136739,-9.872791
421,-5.7100773,-10.251614
422,-3.1928504,-11.7487545
423,-0.45986637,-9.866684
424,-5.503254,-5.296443
425,-4.9678583,-9.570732
